problem_size,size_per_proc,procs,time,pi,speedup,efficiency,karp_flatt,speedup_scal,efficiency_scal,karp_flatt_scal
1,1,1,2e-06,4.0,1.0,1.0,,1.0,1.0,
10000000,10000000,1,0.387448,3.141143,1.0,1.0,,51.619830273998055,51.619830273998055,
10000000,5000000,2,0.899303,3.141818,0.43083143278739205,0.21541571639369603,3.6421868224897276,22.23944543718858,11.11972271859429,-0.9100697
10000000,3333333,3,1.028481,3.141801,0.3767186754057683,0.12557289180192277,3.481751099502384,19.446154085491127,6.482051361830376,-0.4228639249999999
10000000,2500000,4,0.593369,3.142271,0.6529629960446198,0.16324074901115496,1.7086404713234635,33.70583903102454,8.426459757756135,-0.29377539999999996
10000000,2000000,5,0.560242,3.142273,0.6915725704249235,0.13831451408498469,1.5574748095228264,35.69885870748712,7.139771741497424,-0.214984875
10000000,1666666,6,0.514149,3.141567,0.7535714355177197,0.12559523925295327,1.3924170469327495,38.89922960075776,6.483204933459626,-0.16915106
10000000,1428571,7,0.460995,3.142006,0.8404603086801375,0.1200657583828768,1.2214615466677679,43.38441848610072,6.19777406944296,-0.13977529166666666
10000000,1250000,8,0.41032,3.141174,0.9442581399883018,0.11803226749853772,1.067465643315822,48.74244492103724,6.092805615129655,-0.1194102857142857
10000000,1111111,9,0.312298,3.141879,1.2406355468174628,0.1378483940908292,0.7817932987136338,64.04139635860619,7.115710706511799,-0.1074332375
10000000,1000000,10,0.314769,3.141458,1.2308963080862474,0.12308963080862474,0.7915734641953386,63.53865850830291,6.3538658508302905,-0.09362394444444445
10000000,909090,11,0.295786,3.141014,1.3098929631557952,0.11908117846870865,0.7397632714583634,67.61645243520654,6.146950221382412,-0.08373177
10000000,833333,12,0.291909,3.141724,1.3272903541857224,0.11060752951547687,0.7309978019337726,68.51450280738176,5.709541900615147,-0.07498678181818182
50000000,50000000,1,7.866663,3.141829,1.0,1.0,,12.711870331803969,12.711870331803969,
50000000,25000000,2,3.826513,3.141933,2.0558307263035562,1.0279153631517781,-0.027157258420756003,26.133453616909183,13.066726808454591,-0.92346974
50000000,16666666,3,2.540608,3.141722,3.0963702389349317,1.0321234129783106,-0.015561808100842648,39.360656976597724,13.120218992199241,-0.46189087999999995
50000000,12500000,4,3.215493,3.141554,2.4464873660119926,0.6116218415029981,0.21166573425097787,31.099430165141086,7.774857541285272,-0.29046009333333334
50000000,10000000,5,3.069849,3.14159,2.5625569857019026,0.5125113971403805,0.237794030327726,32.57489212010102,6.514978424020204,-0.2116268875
50000000,8333333,6,2.59113,3.141413,3.0359970360421897,0.5059995060070316,0.19525730287416662,38.5932006499095,6.432200108318249,-0.16890644
50000000,7142857,7,1.56112,3.14162,5.0391148662498715,0.7198735523214103,0.06485547514450114,64.05657476683406,9.150939252404866,-0.1484536
50000000,6250000,8,1.673997,3.141453,4.699329210267402,0.5874161512834253,0.10033866056947252,59.73726356737796,7.467157945922245,-0.12372574857142858
50000000,5555555,9,1.524023,3.141157,5.161774461409047,0.5735304957121163,0.09294830603522738,65.61580763544907,7.290645292827675,-0.10785474125000001
50000000,5000000,10,1.43153,3.141301,5.495283368144572,0.5495283368144572,0.09108248595652593,69.85532961237277,6.985532961237277,-0.09520522222222222
50000000,4545454,11,1.361204,3.141416,5.779194742301668,0.5253813402092425,0.0903379361744618,73.46437418638205,6.678579471489277,-0.085026756
50000000,4166666,12,1.329486,3.141714,5.91707095825003,0.49308924652083586,0.09345731243580435,75.21703876535744,6.268086563779787,-0.07640560727272726
100000000,100000000,1,5.322562,3.141474,1.0,1.0,,37.57588920523613,37.57588920523613,
100000000,50000000,2,8.074865,3.141258,0.6591518248292695,0.32957591241463474,2.0342023258723905,24.768215939213842,12.384107969606921,-0.91925135
100000000,33333333,3,7.156725,3.141306,0.7437147577977357,0.24790491926591188,1.5169022925425764,27.945743339306738,9.315247779768912,-0.44632456249999997
100000000,25000000,4,6.43697,3.141555,0.8268738241750389,0.2067184560437597,1.2791658102495251,31.070519203911157,7.767629800977789,-0.2904202
100000000,20000000,5,6.064024,3.141559,0.8777277266712664,0.1755455453342533,1.17413183726183,32.98139980976329,6.596279961952658,-0.21209985
100000000,16666666,6,4.792146,3.141636,1.1106844407495098,0.18511407345825162,0.8804148829078927,41.73495548758323,6.955825914597205,-0.17124712399999997
100000000,14285714,7,3.415373,3.141436,1.5584130928012838,0.22263044182875483,0.5819581184149037,58.55875771109041,8.365536815870058,-0.14674365749999999
100000000,12500000,8,3.558364,3.141631,1.4957890761035126,0.18697363451293908,0.6211925223765763,56.2056045980681,7.025700574758512,-0.12252363428571429
100000000,11111111,9,3.150445,3.141758,1.6894635519744035,0.18771817244160038,0.5408918440029445,63.483095245274875,7.053677249474986,-0.10727874687500001
100000000,10000000,10,2.440036,3.14155,2.1813456850636626,0.21813456850636626,0.39825845773770857,81.96600378027209,8.19660037802721,-0.09755535555555556
100000000,9090909,11,2.508879,3.141455,2.1214901157050616,0.19286273779136923,0.4185034763333899,79.71687753773698,7.246988867066998,-0.08620116550000001
100000000,8333333,12,2.605963,3.141312,2.0424549389227704,0.1702045782435642,0.4432075106960624,76.74706049164935,6.395588374304112,-0.07669474727272726
